url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Garage,Calefacción,Cocina,Año de Construcción,Jardín,Dormitorios Suite,Piscina,Orientación,Plantas,Parrillero,Acepta Mascotas,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Seguridad,Altura,Aptos por piso,Patio,Muebles,Propiedad Horizontal,Gastos Comúnes,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/111111-casa-en-venta-de-4-dormitorios-en-parque-batlle-montevideo,U$S 1.090.000Venta,4,3,606 m²,463m²,606m²,Dormitorios de Servicio: 1,Garaje: 2,,Cocina Definida,1948,Jardín,Dormitorios en Suite: 2,,Este,2,Parrillero,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190634-venta-de-hermosa-casa-de-epoca-en-cordon,U$S 180.000Venta,4,2,170 m²,165m²,170m²,,Garaje: 3,,Cocina Definida,1942,Jardín,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/181628-casa-en-venta-de-2-dormitorios-en-paso-molino-montevideo,U$S 129.000Venta,2,1,206 m²,132m²,120m²,,Cochera: 2,,Cocina Definida,1910,Jardín,,,,1,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/228401-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 580.000Venta,5,4,650 m²,246m²,650m²,Dormitorios de Servicio: 1,Garaje: 4,,Cocina Definida,1967,Jardín,Dormitorios en Suite: 2,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/90752-casa-en-venta-de-5-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 649.000Venta,5,4,360 m²,360m²,,,Garaje: 1,,Cocina Definida,,Jardín,Dormitorios en Suite: 1,Piscina,Norte,2,Parrillero,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/209803-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 630.000Venta,4,4,289 m²,223m²,289m²,,Garaje: 2,,Cocina Definida,2018,Jardín,Dormitorios en Suite: 1,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/72326-casas-en-alquiler-3-dormitorios-piscina-en-carrasco,U$S 1.150.000Venta,3,4,856 m²,301m²,856m²,Dormitorios de Servicio: 1,Cochera: 1,Gas oil,Cocina Definida,,Jardín,Dormitorios en Suite: 1,Piscina,Norte,2,,Acepta Mascotas,,,,,,,,,Muebles,,,,
https://www.casasymas.com.uy/propiedad/159880-casa-en-venta-de-2-dormitorios-con-garage-en-prado-montevideo,U$S 262.000Venta,2,1,126 m²,114m²,126m²,,Garaje: 1,,Cocina Definida,2024,,,,,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/220336-casa-en-venta-de-3-dormitorios-con-garage-en-brazo-oriental-montevideo,U$S 220.000Venta,3,3,220 m²,220m²,181m²,,Garaje: 1,Estufa a leña,Cocina Definida,1964,Jardín,,,Oeste,2,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/202350-venta-de-casa-2-dormitorios-ph-malvin-sur-cochera,U$S 189.000Venta,2,2,59 m²,53m²,189m²,,Cochera: 1,,Cocina Definida,1952,,,,Oeste,2,,Acepta Mascotas,6m²,,,,,,,,Muebles,Propiedad Horizontal,,,
